summary_date,sleep.period_id,sleep.is_longest,sleep.deep,sleep.bedtime_start,sleep.bedtime_end,sleep.duration,sleep.total,sleep.awake,sleep.rem,sleep.light,sleep.deep,sleep.hr_lowest,sleep.hr_average,sleep.efficiency,sleep.onset_latency,sleep.restless,sleep.temperature_delta,sleep.breath_average,sleep.score,sleep.rmssd,activity.score,activity.daily_movement,activity.non_wear,activity.rest,activity.inactive,activity.low,activity.medium,activity.high,activity.steps,activity.cal_total,activity.cal_active,readiness.period_id,readiness.score
2022-11-21,0,1,3810,2022-11-21T20:28:21-08:00,2022-11-22T05:48:21-08:00,33600,32250,1350,8940,19500,3810,58.0,63.522,96,210,3,0.28,15.375,94,30,72.0,9846,0,577,523,288,50,2,10876,2933,624,0,86
2022-11-22,0,1,2550,2022-11-22T21:33:15-08:00,2022-11-23T05:13:15-08:00,27600,24510,3090,6150,15810,2550,58.0,62.256,89,420,3,-0.04,15.5,82,28,72.0,14274,0,496,511,339,94,0,13376,3148,846,0,83
2022-11-23,0,1,3090,2022-11-23T19:28:57-08:00,2022-11-24T05:18:57-08:00,35400,32340,3060,13080,16170,3090,58.0,63.531,91,750,3,-0.04,14.875,95,18,73.0,13399,0,570,430,371,69,0,14149,3120,805,0,86
2022-11-24,0,1,3510,2022-11-24T19:33:21-08:00,2022-11-25T05:01:21-08:00,34080,29250,4830,9960,15780,3510,57.0,65.162,86,780,3,0.65,15.625,92,21,73.0,16963,71,575,434,262,62,36,15734,3367,1094,0,75
2022-11-25,2,1,2340,2022-11-25T21:03:12-08:00,2022-11-26T07:29:12-08:00,37560,33780,3780,10710,20730,2340,58.0,63.241,90,480,3,0.08,15.375,91,23,68.0,19202,0,541,574,183,82,60,14900,3517,1226,2,79
2022-11-26,0,1,1020,2022-11-26T21:55:06-08:00,2022-11-27T05:43:06-08:00,28080,27210,870,9480,16710,1020,60.0,63.344,97,180,3,-0.05,14.625,83,15,71.0,10185,0,599,514,259,68,0,12602,2841,579,0,81
2022-11-27,0,1,4590,2022-11-27T21:00:20-08:00,2022-11-28T05:42:20-08:00,31320,29280,2040,9060,15630,4590,63.0,68.663,93,690,3,0.09,15.5,95,26,73.0,40098,0,528,409,237,10,256,19343,4914,2590,0,70
2022-11-28,0,1,3930,2022-11-28T20:56:56-08:00,2022-11-29T06:16:56-08:00,33600,28110,5490,11310,12870,3930,59.0,65.23,84,1170,3,0.07,15.75,90,23,72.0,10808,0,500,506,380,54,0,13103,3043,688,0,83
2022-11-29,0,1,3720,2022-11-29T19:53:11-08:00,2022-11-30T05:40:11-08:00,35220,30150,5070,9660,16770,3720,61.0,66.806,86,540,3,-0.09,14.75,92,25,75.0,13490,353,585,235,171,61,35,7584,3072,855,0,83
2022-11-30,0,1,2580,2022-11-30T21:01:42-08:00,2022-12-01T05:38:42-08:00,31020,28800,2220,9510,16710,2580,60.0,63.681,93,300,3,-0.18,15.5,88,21,71.0,11874,0,486,568,309,76,1,13763,3066,725,0,83
2022-12-01,0,1,4800,2022-12-01T20:50:29-08:00,2022-12-02T05:44:29-08:00,32040,30990,1050,13890,12300,4800,60.0,65.952,97,330,3,-0.16,14.625,95,19,71.0,17526,0,520,560,249,30,81,10834,3447,1133,0,73
2022-12-02,0,1,4860,2022-12-02T20:24:14-08:00,2022-12-03T04:57:14-08:00,30780,28650,2130,9630,14160,4860,59.0,62.429,93,240,2,-0.16,15.375,93,27,72.0,13578,0,587,508,250,69,26,13238,3140,858,0,85
2022-12-03,2,1,3090,2022-12-03T23:29:28-08:00,2022-12-04T07:31:28-08:00,28920,25590,3330,8100,14400,3090,57.0,63.764,88,750,3,0.32,15.125,86,24,70.0,11887,0,348,559,479,54,0,11537,3136,722,2,80
2022-12-04,0,1,3330,2022-12-04T21:23:52-08:00,2022-12-05T06:57:52-08:00,34440,30330,4110,8580,18420,3330,58.0,61.982,88,360,3,0.19,15.5,90,21,74.0,17792,46,586,319,411,11,67,17662,3399,1100,0,81
2022-12-05,0,1,7350,2022-12-05T20:43:32-08:00,2022-12-06T06:48:32-08:00,36300,30870,5430,9870,13650,7350,57.0,60.787,85,270,3,-0.38,16.0,92,35,81.0,4345,0,631,536,255,18,0,5785,2563,292,0,91
2022-12-06,0,1,3330,2022-12-06T20:40:04-08:00,2022-12-07T06:45:04-08:00,36300,31200,5100,7350,20520,3330,59.0,63.028,86,1740,3,-0.1,15.375,90,20,99.0,20352,0,552,376,381,72,59,22997,3576,1235,0,82
2022-12-07,0,1,810,2022-12-07T19:52:15-08:00,2022-12-08T06:52:15-08:00,39600,35100,4500,14040,20250,810,59.0,63.12,89,420,3,0.11,15.375,87,25,97.0,14185,0,609,442,282,107,0,14330,3216,897,0,87
2022-12-08,0,1,1950,2022-12-08T20:35:33-08:00,2022-12-09T04:36:33-08:00,28860,26010,2850,10530,13530,1950,57.0,62.883,90,300,3,-0.16,15.0,82,18,97.0,14207,72,592,458,199,118,1,12830,3192,911,0,79
2022-12-09,0,1,3120,2022-12-09T20:20:21-08:00,2022-12-10T07:00:21-08:00,38400,33090,5310,13380,16590,3120,57.0,61.678,86,870,3,0.12,15.25,93,24,92.0,13815,23,502,527,297,71,20,15327,3200,870,0,88
